ENSEMBL,logFC,AveExpr,t,P.Value,adj.P.Val,B,direction,ENTREZID,SYMBOL,GENENAME
ENSG00000149131,2.19985447740044,4.78714039272486,7.43567782879107,1.50025724216021e-07,0.00121322997827618,7.55048761207656,up.reg,710,SERPING1,serpin family G member 1
ENSG00000182511,-1.30545580174343,4.53496205014125,-7.28171072954813,2.1131747108763e-07,0.00121322997827618,7.22883093275619,down.reg,2242,FES,"FES proto-oncogene, tyrosine kinase"
ENSG00000230551,1.7028960659531,3.65261710497154,7.17377910298705,2.69172994237324e-07,0.00121322997827618,6.97365404624373,up.reg,,,
ENSG00000102996,-3.90476174215057,2.29537026541212,-6.99232332148543,4.05702072830503e-07,0.00137684610698715,6.47370001068366,down.reg,4324,MMP15,matrix metallopeptidase 15
ENSG00000171388,1.58228948766866,4.75702595642535,6.91951643662398,4.78869753834044e-07,0.00137684610698715,6.44937801015222,up.reg,8862,APLN,apelin
ENSG00000156413,-2.96821294592845,1.81432819994658,-6.87135699084006,5.34578886733043e-07,0.00137684610698715,6.20806796342797,down.reg,2528,FUT6,fucosyltransferase 6
ENSG00000160439,3.30409799482655,0.777558345629779,7.28224060132385,2.11067366543414e-07,0.00121322997827618,6.10337119009673,up.reg,112724,RDH13,retinol dehydrogenase 13
ENSG00000013810,-1.24472632139154,6.10679748922438,-6.76061224680467,6.89290474833038e-07,0.00155340224634561,6.09917198732784,down.reg,10460,TACC3,transforming acidic coiled-coil containing protein 3
ENSG00000166851,-1.2130577191591,5.33802191082821,-6.62619855673144,9.4033758011986e-07,0.00188370513688677,5.80118702993269,down.reg,5347,PLK1,polo like kinase 1
ENSG00000188677,2.5149286372281,3.47176909566348,6.49295710406423,1.28216403362462e-06,0.00231161353622184,5.46330448702887,up.reg,29780,PARVB,parvin beta
ENSG00000178338,1.42054455213248,2.85738688226399,6.40537256250576,1.57386778088485e-06,0.00257956929287026,5.28607269740425,up.reg,117608,ZNF354B,zinc finger protein 354B
ENSG00000165905,-1.78261362220514,4.14392588029338,-6.22577731088001,2.40294715086281e-06,0.00361022784857547,4.90595868091184,down.reg,120071,LARGE2,LARGE xylosyl- and glucuronyltransferase 2
ENSG00000099958,1.82956233625816,4.43107607125218,6.0979509163801,3.25478288954023e-06,0.00374705561330241,4.61457916914141,up.reg,91319,DERL3,derlin 3
ENSG00000196743,0.838382931272355,5.82839346689715,6.04772825155995,3.66870195752129e-06,0.00374705561330241,4.48289021936342,up.reg,2760,GM2A,GM2 ganglioside activator
ENSG00000086619,1.59504141615367,4.2186281196603,6.02409864819239,3.88163718960134e-06,0.00374705561330241,4.44617367006135,up.reg,56605,ERO1B,endoplasmic reticulum oxidoreductase 1 beta
ENSG00000188095,-2.29278719321466,2.23058085059706,-6.03629697125334,3.77018556577291e-06,0.00374705561330241,4.3951010707545,down.reg,145873,MESP2,mesoderm posterior bHLH transcription factor 2
ENSG00000168916,3.11603350943053,3.31459054678364,6.00771191753178,4.03666164618407e-06,0.00374705561330241,4.39392335713688,up.reg,57507,ZNF608,zinc finger protein 608
ENSG00000164929,-3.34678203590534,3.05967548516513,-5.98771611367429,4.23440536218553e-06,0.00374705561330241,4.36276848881192,down.reg,79870,BAALC,BAALC binder of MAP3K1 and KLF4
ENSG00000128283,-1.24395448545466,7.46693657018386,-5.97296403510855,4.38659543615967e-06,0.00374705561330241,4.31625061140232,down.reg,11135,CDC42EP1,CDC42 effector protein 1
ENSG00000149243,2.00831162810481,2.32395345513415,5.99413920413623,4.16983246656914e-06,0.00374705561330241,4.30310520184347,up.reg,283212,KLHL35,kelch like family member 35
ENSG00000101986,-1.5255440052685,4.95841271039413,-5.94592546591865,4.68016073668446e-06,0.00374705561330241,4.25847255598583,down.reg,215,ABCD1,ATP binding cassette subfamily D member 1
ENSG00000113240,1.55434971490872,3.62147955847735,5.92882867364771,4.87603589604826e-06,0.00374705561330241,4.23260257227432,up.reg,57396,CLK4,CDC like kinase 4
ENSG00000162551,-1.6558828992542,2.57380600223206,-5.91302617301677,5.06450252146223e-06,0.00374705561330241,4.19174438838292,down.reg,249,ALPL,"alkaline phosphatase, biomineralization associated"
ENSG00000112981,2.03853376459775,0.797137280580659,6.07400360182149,3.445857488303e-06,0.00374705561330241,4.13065743743309,up.reg,8382,NME5,NME/NM23 family member 5
ENSG00000186020,1.14996645229277,4.27966192315545,5.83827042639362,6.06179030820039e-06,0.00374705561330241,4.01656122855629,up.reg,57711,ZNF529,zinc finger protein 529
ENSG00000267913,2.62036713767178,1.56313141384719,5.88729463408377,5.38739820611619e-06,0.00374705561330241,4.01159259597823,up.reg,,,
ENSG00000130775,-2.06791482874687,1.67673974356329,-5.84737811446663,5.93030376844719e-06,0.00374705561330241,3.99623225460626,down.reg,9473,THEMIS2,thymocyte selection associated family member 2
ENSG00000155380,2.11713577859552,4.8874715596405,5.82924764671907,6.19497652151031e-06,0.00374705561330241,3.98715904461142,up.reg,6566,SLC16A1,solute carrier family 16 member 1
ENSG00000087253,1.52303964738324,3.62110956540391,5.80112215467628,6.62955715582627e-06,0.00374705561330241,3.94229948667865,up.reg,54947,LPCAT2,lysophosphatidylcholine acyltransferase 2
ENSG00000165609,-1.21978588966809,5.68576197451788,-5.8013946212955,6.62520173874253e-06,0.00374705561330241,3.91738713876732,down.reg,11164,NUDT5,nudix hydrolase 5
ENSG00000183718,1.5170546712286,2.44573931077633,5.79980101066742,6.65071715711781e-06,0.00374705561330241,3.91498948595491,up.reg,84851,TRIM52,tripartite motif containing 52
ENSG00000152503,2.1390796143171,1.98470769253676,5.80298545313714,6.59983010326028e-06,0.00374705561330241,3.89046404472472,up.reg,55521,TRIM36,tripartite motif containing 36
ENSG00000113212,3.35671275427848,2.94665702258927,5.78127531752501,6.95477186456095e-06,0.00379962369533846,3.85256848050107,up.reg,56129,PCDHB7,protocadherin beta 7
ENSG00000196963,2.9987982788782,4.67899209150854,5.64069109050037,9.77417512272006e-06,0.00503518808946062,3.55974702866876,up.reg,,,
ENSG00000269728,1.40641190138148,4.17903218056339,5.64066074668,9.77489506523499e-06,0.00503518808946062,3.55720701634808,up.reg,,,
ENSG00000188002,1.33033280850073,3.54379509329327,5.59535789833965,1.09121486388746e-05,0.00517724020553342,3.47065118976536,up.reg,,,
ENSG00000100181,2.84197052334482,3.40177519470966,5.52476506921788,1.29583647754421e-05,0.005697255677277,3.31084050385053,up.reg,387590,TPTEP1,TPTE pseudogene 1
ENSG00000100181,2.84197052334482,3.40177519470966,5.52476506921788,1.29583647754421e-05,0.005697255677277,3.31084050385053,up.reg,112268292,LOC112268292,uncharacterized LOC112268292
ENSG00000261521,1.62982067961247,2.35941186208619,5.51139036864914,1.33879148866376e-05,0.005697255677277,3.27070749091801,up.reg,,,
ENSG00000176533,1.62305040863636,4.58258504761315,5.50341998600187,1.36507371959203e-05,0.005697255677277,3.23411196612521,up.reg,2788,GNG7,G protein subunit gamma 7
ENSG00000164850,3.46808167984226,1.03877637287577,5.6103778188607,1.05209286510369e-05,0.00516405813985337,3.23030597978874,up.reg,2852,GPER1,G protein-coupled estrogen receptor 1
ENSG00000197375,0.994250651938072,4.20919321887728,5.49289141511613,1.40059573351287e-05,0.005697255677277,3.21113448048395,up.reg,6584,SLC22A5,solute carrier family 22 member 5
ENSG00000186687,1.00964240186021,4.42485018746047,5.48235649708518,1.43707783944496e-05,0.005697255677277,3.18628233806988,up.reg,90624,LYRM7,LYR motif containing 7
ENSG00000073464,3.63621518700764,4.02768463342525,5.46701076516244,1.4919514930026e-05,0.00572306243986038,3.17805989013904,up.reg,1183,CLCN4,chloride voltage-gated channel 4
ENSG00000090565,-1.17559591876264,5.49350569508511,-5.47766772983487,1.45362339095203e-05,0.005697255677277,3.15647047300065,down.reg,9727,RAB11FIP3,RAB11 family interacting protein 3
ENSG00000127022,0.879319007823542,9.6662575878408,5.45341157642774,1.54235372270055e-05,0.0057931448472017,3.11338996792211,up.reg,821,CANX,calnexin
ENSG00000106823,2.50466564765161,0.739562485028706,5.60737705510102,1.05979339494467e-05,0.00516405813985337,3.05625377939469,up.reg,1842,ECM2,extracellular matrix protein 2
ENSG00000143390,-0.867507121264748,5.7243151452944,-5.39470653914638,1.78052291354785e-05,0.00655123420578658,2.95742009674128,down.reg,5993,RFX5,regulatory factor X5
ENSG00000237517,2.55857080051674,2.29901329843184,5.38365870164247,1.82935210362479e-05,0.00659627781525026,2.94963140347341,up.reg,,,
ENSG00000189221,1.83262914606262,4.27324626816072,5.3719218618354,1.88271409566591e-05,0.00665557890799229,2.92873285553944,up.reg,4128,MAOA,monoamine oxidase A
ENSG00000176593,1.41148534199614,3.15392922384687,5.35331909734531,1.97054230548853e-05,0.00683209754339476,2.91477160748714,up.reg,100128398,LOC100128398,uncharacterized LOC100128398
ENSG00000111319,-2.27328824486306,2.8145476994439,-5.33989775879439,2.03647480475807e-05,0.00692747250094023,2.88350719902227,down.reg,6337,SCNN1A,sodium channel epithelial 1 alpha subunit
ENSG00000235330,2.10821876754001,0.265799982668064,5.47799848775165,1.45244991717822e-05,0.005697255677277,2.823975149376,up.reg,,,
ENSG00000135477,-2.79973705119335,4.68035409452582,-5.28363591850387,2.33808290151747e-05,0.00739531519850149,2.72900092887895,down.reg,85349,KRT87P,keratin 87 pseudogene
ENSG00000185633,3.10047903147387,5.93161155497942,5.29348882259032,2.282172008832e-05,0.00739531519850149,2.72293010628637,up.reg,56901,NDUFA4L2,NDUFA4 mitochondrial complex associated like 2
ENSG00000159692,-1.05959687330497,6.75845500023542,-5.28569110280987,2.32630732230122e-05,0.00739531519850149,2.69800298432345,down.reg,1487,CTBP1,C-terminal binding protein 1
ENSG00000127129,1.73730002898803,4.51550036363287,5.26672048327909,2.43732352815001e-05,0.00757629411879594,2.68154002698949,up.reg,1907,EDN2,endothelin 2
ENSG00000104142,-1.14797270694038,3.77258869839135,-5.24711921003804,2.55766728835147e-05,0.00768536392361478,2.64655459807293,down.reg,57617,VPS18,VPS18 core subunit of CORVET and HOPS complexes
ENSG00000267100,-1.18202191483048,4.79927172630926,-5.25265176153094,2.52310322307389e-05,0.00768536392361478,2.64097730173637,down.reg,147727,ILF3-DT,ILF3 divergent transcript
ENSG00000152661,3.7307142689508,2.80633177355419,5.22078845161115,2.72884748062294e-05,0.00774295531410016,2.59933350985589,up.reg,2697,GJA1,gap junction protein alpha 1
ENSG00000050767,2.30100407237767,2.14960822308316,5.21502488691804,2.76783740420092e-05,0.00774295531410016,2.5962153242486,up.reg,91522,COL23A1,collagen type XXIII alpha 1 chain
ENSG00000178538,1.55033773664637,3.5339068959958,5.2190406820077,2.74061192385554e-05,0.00774295531410016,2.59300264746705,up.reg,767,CA8,carbonic anhydrase 8
ENSG00000073060,-0.933207764147634,7.11646204695382,-5.22917806093555,2.67308303179526e-05,0.00774295531410016,2.56496002553267,down.reg,949,SCARB1,scavenger receptor class B member 1
ENSG00000189320,3.32392682027078,2.1510375176886,5.21155679822648,2.79156966784908e-05,0.00774295531410016,2.55176816732509,up.reg,389558,FAM180A,family with sequence similarity 180 member A
ENSG00000120129,1.23912242906205,3.22181196119987,5.18110099667973,3.0090214872651e-05,0.00806794424558558,2.51067771076237,up.reg,1843,DUSP1,dual specificity phosphatase 1
ENSG00000269486,2.92931351853551,-0.371190143046309,5.56726431587639,1.16840016291619e-05,0.00540130424031178,2.51023584187553,up.reg,,,
ENSG00000066629,4.40305301663723,1.8736288846264,5.2851164295828,2.32959396667512e-05,0.00739531519850149,2.48760253985027,up.reg,2009,EML1,EMAP like 1
ENSG00000118816,0.681549026031415,7.45625833639859,5.1874694566757,2.96217760341633e-05,0.00806794424558558,2.46147154723148,up.reg,10983,CCNI,cyclin I
ENSG00000165175,-0.771021042661147,4.6732869807322,-5.17654566728593,3.0429874574287e-05,0.00806794424558558,2.45765683381225,down.reg,58526,MID1IP1,MID1 interacting protein 1
ENSG00000001617,-1.05002404139149,3.56216639279775,-5.11736743879794,3.52113133350986e-05,0.00920035895823903,2.35123391617164,down.reg,6405,SEMA3F,semaphorin 3F
ENSG00000138083,-4.05301684817951,0.969111511284781,-5.10224573662914,3.65505034684903e-05,0.0092128104046027,2.2771867477547,down.reg,6496,SIX3,SIX homeobox 3
ENSG00000168439,-0.955768334548899,6.44289452349734,-5.10868393266389,3.59741541219022e-05,0.0092128104046027,2.27584755892768,down.reg,10963,STIP1,stress induced phosphoprotein 1
ENSG00000170442,-2.90515158774218,4.78030509081694,-5.07671670430051,3.89291727928748e-05,0.0092128104046027,2.23992530784387,down.reg,3892,KRT86,keratin 86
ENSG00000129521,1.33688458288355,3.93647433081599,5.07039983500185,3.95414937671088e-05,0.0092128104046027,2.21730459402995,up.reg,112399,EGLN3,egl-9 family hypoxia inducible factor 3
ENSG00000234284,1.05382899098644,2.87694883787394,5.04515034266695,4.20877136026513e-05,0.0092128104046027,2.20668770607332,up.reg,345462,ZNF879,zinc finger protein 879
ENSG00000066583,0.899711150594466,5.45884841826925,5.07558452959348,3.90382108854396e-05,0.0092128104046027,2.19996976560078,up.reg,51015,ISOC1,isochorismatase domain containing 1
ENSG00000198040,1.22785733248533,4.74529647235977,5.06262877264307,4.03081321004801e-05,0.0092128104046027,2.17666645985145,up.reg,7637,ZNF84,zinc finger protein 84
ENSG00000154153,1.66703167384322,3.78542783277911,5.03978811586904,4.26494126334104e-05,0.0092128104046027,2.16723618847199,up.reg,54463,RETREG1,reticulophagy regulator 1
ENSG00000113712,0.938168532035536,6.02806720540486,5.0624402081736,4.03269198467269e-05,0.0092128104046027,2.1611246261949,up.reg,1452,CSNK1A1,casein kinase 1 alpha 1
ENSG00000181652,3.459502948258,1.443868398412,5.05837037225546,4.07345819380779e-05,0.0092128104046027,2.15356281054918,up.reg,285973,ATG9B,autophagy related 9B
ENSG00000105971,1.55280581063365,3.64669392107697,5.02398653031454,4.43490306395255e-05,0.00940669027529418,2.1371098479828,up.reg,858,CAV2,caveolin 2
ENSG00000236366,-2.20680994075968,0.311658559498185,-5.08128141391025,3.84926622143951e-05,0.0092128104046027,2.12614350249322,down.reg,153910,LOC153910,uncharacterized LOC153910
ENSG00000068793,-0.797891881568519,6.49520676736637,-5.03812691389204,4.28249555689885e-05,0.0092128104046027,2.10619303175632,down.reg,,,
ENSG00000185989,4.09311287040512,3.01741776963859,4.98492190348275,4.88500645727684e-05,0.0102139455115897,2.06087106794984,up.reg,22821,RASA3,RAS p21 protein activator 3
ENSG00000184697,-5.15752661074881,0.619600903110951,-5.03719304125693,4.29239599526667e-05,0.0092128104046027,2.01765378974044,down.reg,9074,CLDN6,claudin 6
ENSG00000134463,-1.49942901922885,4.14094331320265,-4.9752371270116,5.0035508307941e-05,0.0102139455115897,2.00363203392233,down.reg,79746,ECHDC3,enoyl-CoA hydratase domain containing 3
ENSG00000164209,0.97078669465669,5.08948605480446,4.97158505290201,5.0490027278423e-05,0.0102139455115897,1.95739611487477,up.reg,91137,SLC25A46,solute carrier family 25 member 46
ENSG00000166145,-0.849869647962842,7.4981223347685,-4.96885536497954,5.08324673544339e-05,0.0102139455115897,1.94600547986504,down.reg,6692,SPINT1,"serine peptidase inhibitor, Kunitz type 1"
ENSG00000140995,1.22772675902962,3.66733876971484,4.9233471091364,5.68991265564285e-05,0.011091641175049,1.89223670926543,up.reg,54849,DEF8,differentially expressed in FDCP 8 homolog
ENSG00000006118,-0.975112829298477,7.10313584442248,-4.93910343082627,5.47202053538211e-05,0.0108412151903741,1.87320682440874,down.reg,54972,TMEM132A,transmembrane protein 132A
ENSG00000168944,1.00365063048823,4.0707544724088,4.90978893023227,5.88439421082919e-05,0.011091641175049,1.83883115721046,up.reg,153241,CEP120,centrosomal protein 120
ENSG00000189212,0.942628766718355,3.86692790809694,4.90460899044248,5.96045251209374e-05,0.011091641175049,1.83546314963353,up.reg,,,
ENSG00000235961,1.82168817369415,1.04522395255602,4.92108011154312,5.72197419597884e-05,0.011091641175049,1.83355068758484,up.reg,84968,PNMA6A,PNMA family member 6A
ENSG00000186907,-2.73900471129694,2.40566639760575,-4.87574844340196,6.40271557722754e-05,0.0116600564789733,1.81624338434832,down.reg,349667,RTN4RL2,reticulon 4 receptor like 2
ENSG00000160886,-4.46787603721193,0.349736939511496,-5.04729016990593,4.18656538056517e-05,0.0092128104046027,1.79204412306066,down.reg,54742,LY6K,lymphocyte antigen 6 family member K
ENSG00000161850,-3.27979871578412,1.8009544286609,-4.87651893919389,6.39048945045318e-05,0.0116600564789733,1.78920718583859,down.reg,3888,KRT82,keratin 82
ENSG00000213937,-2.93240406196505,1.05684534838157,-4.80193818988336,7.69010120906592e-05,0.0129948121081775,1.64654765563077,down.reg,9080,CLDN9,claudin 9
ENSG00000185499,-1.76252402439193,6.64627421867184,-4.83802880357461,7.03095631415124e-05,0.0124275599399836,1.63444673573868,down.reg,4582,MUC1,"mucin 1, cell surface associated"
ENSG00000161682,2.33648896104835,-0.0884585826845867,4.91445860732007,5.81666653162388e-05,0.011091641175049,1.61981334693745,up.reg,284069,FAM171A2,family with sequence similarity 171 member A2
ENSG00000046653,1.00221429867588,5.54632200559316,4.83262420094352,7.12592033616723e-05,0.0124707933514562,1.61739574903736,up.reg,2824,GPM6B,glycoprotein M6B
ENSG00000122203,0.880314606985643,6.55596437820921,4.82880765581193,7.19375732736947e-05,0.0124707933514562,1.5988293375563,up.reg,57179,KIAA1191,KIAA1191
ENSG00000172782,3.12250658087962,1.79102363819442,4.79006092962377,7.92034887546616e-05,0.0129948121081775,1.54859298448681,up.reg,283985,FADS6,fatty acid desaturase 6
ENSG00000151292,1.13668234212565,4.59621210501414,4.7926647434929,7.86928605295085e-05,0.0129948121081775,1.54621890557848,up.reg,1456,CSNK1G3,casein kinase 1 gamma 3
ENSG00000187091,-1.10677004932738,4.5074885641388,-4.79207344034427,7.88085283376582e-05,0.0129948121081775,1.54264015989318,down.reg,5333,PLCD1,phospholipase C delta 1
ENSG00000197701,3.25116870496088,0.97324230499613,4.85526357686914,6.73654840803943e-05,0.0121453231248543,1.52762263891816,up.reg,,,
ENSG00000164120,-4.47673307303238,1.82680566241567,-4.75147965477545,8.71721015218919e-05,0.0134702621906842,1.51856639874333,down.reg,3248,HPGD,15-hydroxyprostaglandin dehydrogenase
ENSG00000156414,3.97722029759207,1.37634815569534,4.85027924739958,6.82039283828617e-05,0.0121747388595506,1.51626046789422,up.reg,122402,TDRD9,tudor domain containing 9
ENSG00000212766,2.18710512337815,3.29296124313763,4.7528331438298,8.68793563282685e-05,0.0134702621906842,1.51621627540967,up.reg,283673,EWSAT1,Ewing sarcoma associated transcript 1
ENSG00000140416,-1.19717068823427,6.00114081426579,-4.78964682901841,7.92850037106619e-05,0.0129948121081775,1.51419148301378,down.reg,7168,TPM1,tropomyosin 1
ENSG00000257088,1.92809357473664,1.0984219176456,4.75163195693287,8.71391107456859e-05,0.0134702621906842,1.48438980267114,up.reg,,,
ENSG00000174137,-1.14732343762321,2.94555276693867,-4.73155110016799,9.15990154594263e-05,0.01376198874765,1.4695963044,down.reg,152877,FAM53A,family with sequence similarity 53 member A
ENSG00000133706,0.694700381839438,6.99980674258246,4.7693102311002,8.33937963504836e-05,0.0134702621906842,1.45685860180545,up.reg,51520,LARS,leucyl-tRNA synthetase
ENSG00000019505,1.4651881031248,5.17108661468013,4.76130369826191,8.50695792557367e-05,0.0134702621906842,1.45635170717832,up.reg,57586,SYT13,synaptotagmin 13
ENSG00000237649,-0.667417808358738,5.82806408685682,-4.75035609955593,8.74158675639279e-05,0.0134702621906842,1.41906101557143,down.reg,3833,KIFC1,kinesin family member C1
ENSG00000170412,5.82868450589827,0.737497111089478,5.06191794715193,4.0379001829189e-05,0.0092128104046027,1.40426137152139,up.reg,55890,GPRC5C,G protein-coupled receptor class C group 5 member C
ENSG00000071794,0.827146259445072,5.92784052110926,4.72068642976961,9.41069453194216e-05,0.0140219348525938,1.34284398984773,up.reg,6596,HLTF,helicase like transcription factor
ENSG00000183734,2.12574053112044,1.11427864870628,4.70393978133055,9.81084501507333e-05,0.0144375890344127,1.32227060142162,up.reg,430,ASCL2,achaete-scute family bHLH transcription factor 2
ENSG00000196387,1.12462170462607,4.31307992364489,4.69383195859353,0.00010060591862481,0.0145105928550936,1.31984059421443,up.reg,7699,ZNF140,zinc finger protein 140
ENSG00000067057,1.98158443123915,5.15120540431361,4.70212889843505,9.8551263865613e-05,0.0144375890344127,1.31509590135087,up.reg,5214,PFKP,"phosphofructokinase, platelet"
ENSG00000113070,1.09749938410125,3.255291579543,4.66943981825511,0.000106898965793135,0.014986274529915,1.31458358799852,up.reg,1839,HBEGF,heparin binding EGF like growth factor
ENSG00000019169,-2.50186773079359,1.50581502966045,-4.66004276974785,0.000109427515964453,0.014986274529915,1.30910222890124,down.reg,8685,MARCO,macrophage receptor with collagenous structure
ENSG00000081791,0.776066653015635,5.65161701344349,4.6990896528775,9.92989650156511e-05,0.0144375890344127,1.29502489660114,up.reg,9812,DELE1,DAP3 binding cell death enhancer 1
ENSG00000147381,-5.11375793302743,-1.30974521027603,-4.90412916658747,5.96754780619973e-05,0.011091641175049,1.29390864909967,down.reg,4103,MAGEA4,MAGE family member A4
ENSG00000170608,-1.55904865564655,1.20741327860651,-4.62551895919778,0.000119243675383622,0.0158043133772738,1.24558998656619,down.reg,3171,FOXA3,forkhead box A3
ENSG00000102383,-3.38746230212942,-0.58426056451209,-4.74071923833839,8.95350206761432e-05,0.0136621262472114,1.23075077421885,down.reg,158866,ZDHHC15,zinc finger DHHC-type containing 15
ENSG00000117115,-1.50561684097378,7.08802753117948,-4.66898634477324,0.000107019628077373,0.014986274529915,1.2292981305483,down.reg,11240,PADI2,peptidyl arginine deiminase 2
ENSG00000181904,1.12111495158696,5.0045458711788,4.66063064096195,0.000109267585969491,0.014986274529915,1.2173879648715,up.reg,134553,C5orf24,chromosome 5 open reading frame 24
ENSG00000146966,1.70707451268917,4.49883855028562,4.6533327154045,0.000111269715327708,0.0149891527160618,1.21697394354128,up.reg,27147,DENND2A,DENN domain containing 2A
ENSG00000176406,-3.14146430249111,0.618276479763351,-4.61728905172366,0.00012171126887065,0.0158043133772738,1.21313903127241,down.reg,9699,RIMS2,regulating synaptic membrane exocytosis 2
ENSG00000272568,1.85205222742247,0.311196725129172,4.66591951379592,0.000107839261711758,0.014986274529915,1.19887088356042,up.reg,100506497,LOC100506497,uncharacterized LOC100506497
ENSG00000092621,-0.835438565351742,8.15370192828876,-4.65283920990994,0.00011140642653238,0.0149891527160618,1.19452405045826,down.reg,26227,PHGDH,phosphoglycerate dehydrogenase
ENSG00000129625,0.95538959144023,6.45236870219219,4.65896046424393,0.000109722571298951,0.014986274529915,1.19124439582456,up.reg,7905,REEP5,receptor accessory protein 5
ENSG00000166183,4.47938883890861,0.175772638288387,4.96762500595002,5.09875808998321e-05,0.0102139455115897,1.17933541546222,up.reg,374569,ASPG,asparaginase
ENSG00000135443,-3.06096656966925,3.04162041232737,-4.59429027652175,0.00012888204119561,0.0158267728873078,1.1689335681717,down.reg,3891,KRT85,keratin 85
ENSG00000168936,-1.10902445372544,6.42235679534903,-4.63396176556505,0.000116764393606704,0.0155936685358168,1.13999558182313,down.reg,92305,TMEM129,transmembrane protein 129
ENSG00000105639,3.18042054714937,-0.537490969249175,4.82102725075379,7.33406939206018e-05,0.012592946387567,1.12602555351374,up.reg,3718,JAK3,Janus kinase 3
ENSG00000174514,1.0556084024972,4.67781135208503,4.61842250258338,0.000121368405226694,0.0158043133772738,1.11989730746126,up.reg,148808,MFSD4A,major facilitator superfamily domain containing 4A
ENSG00000205426,-3.14755025998424,7.82538256562977,-4.61328365180379,0.000122930686292851,0.0158043133772738,1.11258600654488,down.reg,3887,KRT81,keratin 81
ENSG00000117308,-1.19036686168267,3.4348868764358,-4.58099912490144,0.000133217710121736,0.015905841693939,1.09617314426004,down.reg,2582,GALE,UDP-galactose-4-epimerase
ENSG00000176915,0.909167782337341,5.58631204592192,4.6144895173493,0.000122562284660537,0.0158043133772738,1.08934232467278,up.reg,23141,ANKLE2,ankyrin repeat and LEM domain containing 2
ENSG00000147642,-1.22960407684516,4.30653638990347,-4.59720384496979,0.000127950684495189,0.0158267728873078,1.08679186375766,down.reg,55638,SYBU,syntabulin
ENSG00000134453,-0.805772537915733,5.72152091143228,-4.61109778808396,0.000123601319329725,0.0158043133772738,1.08614548645133,down.reg,84991,RBM17,RNA binding motif protein 17
