Cytokine,Human_gene,Mouse_gene
CCL1,CCL1,Ccl1
CCL2,CCL2,Ccl2
CCL3,CCL3,Ccl3
CCL4,CCL4,Ccl4
CCL5,CCL5,Ccl5
CD40L,CD40LG,Cd40lg
C5,C5,Hc
CXCL1,CXCL1,Cxcl1
CXCL10,CXCL10,Cxcl10
CXCL11,CXCL11,Cxcl11
CXCL12,CXCL12,Cxcl12
G-CSF,CSF3,Csf3
GM-CSF,CSF2,Csf2
CD54,ICAM1,Icam1
IFN-G,IFNG,Ifng
IL-1A,IL1A,Il1a
IL-1B,IL1B,Il1b
IL-1RA,IL1RN,Il1rn
IL-2,IL2,Il2
IL-4,IL4,Il4
IL-5,IL5,Il5
IL-6,IL6,Il6
IL-8,IL8,Cxcl15
IL-10,IL10,Il10
IL-12p70,IL12A,Il12a
IL-13,IL13,Il13
IL-16,IL16,Il16
IL-17A,IL17A,Il17a
IL-17E,IL25,Il25
IL-18,IL18,Il18
IL-21,IL21,Il21
IL-27,IL27,NA
IL-32A,IL32,NA
MIF,MIF,Mif
Serpin E1,SERPINE1,Serpine1
TNF-A,TNF,Tnf
TREM-1,TREM1,Trem1
BLC,CXCL13,Cxcl13
CCL11,CCL11,Ccl11
IL-3,IL3,Il3
IL-7,IL7,Il7
IL-23,IL23A,Il23a
M-CSF,CSF1,Csf1
CCL12,NA,Ccl12
CXCL9,CXCL9,Cxcl9
CXCL2,CXCL2,Cxcl2
CCL17,CCL17,Ccl17
TIMP-1,TIMP1,Timp1